"","Country.Name","Country.Code","Year","Continent","Agricultural.land....of.land.area.","Net.ODA.received....of.GNI.","Access.to.electricity....of.population.","GDP.growth..annual...","GDP.per.capita..current.US..","Mortality.rate..under.5..per.1.000.live.births.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Income.level","Dem.Index","Battle.Deaths","Human.Rights","Hum.Dev","migration_rel"
"213","Belgium","BEL",1992,"Europe",44.8202315661182,NA,100,1.53065494385902,23372.619171015,9.3,6.69999980926514,"H",10,0,2.707605871,0.806,0.0106466219844427
"214","Belgium","BEL",1992,"Europe",44.8202315661182,NA,100,1.53065494385902,23372.619171015,9.3,6.69999980926514,"H",10,0,2.707605871,0.825,0.0106466219844427
"215","Benin","BEN",1992,"Africa",20.3529620432778,16.4563827386551,NA,2.95771082640832,317.962855286116,166.7,1.50999999046326,"L",6,0,1.147551057,0.348,0.0128022359415755
"216","Benin","BEN",1992,"Africa",20.3529620432778,16.4563827386551,NA,2.95771082640832,317.962855286116,166.7,1.50999999046326,"L",6,0,1.147551057,0.358,0.0128022359415755
"217","Burkina Faso","BFA",1992,"Africa",34.8135964912281,19.4143029695412,NA,0.232710761845951,240.963480980403,197.7,2.50999999046326,"L",-5,0,-0.347443299,NA,-0.0161341483103411
"218","Bangladesh","BGD",1992,"Asia",73.3579165706384,4.61426406741273,11.9665746688843,5.44268555072129,293.644998454252,131.9,2.26999998092651,"L",6,96,-1.758145248,0.387,-0.00753626676854871
"219","Bangladesh","BGD",1992,"Asia",73.3579165706384,4.61426406741273,11.9665746688843,5.44268555072129,293.644998454252,131.9,2.26999998092651,"L",6,96,-1.758145248,0.402,-0.00753626676854871
"220","Bulgaria","BGR",1992,"Europe",55.6268643225165,NA,100,-7.2723879985458,1211.98087810931,19.2,13.5,"LM",8,0,-0.023301635,0.694,-0.0417397136635784
"221","Bulgaria","BGR",1992,"Europe",55.6268643225165,NA,100,-7.2723879985458,1211.98087810931,19.2,13.5,"LM",8,0,-0.023301635,0.691,-0.0417397136635784
"222","Bahrain","BHR",1992,"Asia",12.6760563380282,1.67480457211522,100,6.68999836660538,9082.75853260694,22,0.860000014305115,"UM",-10,0,-0.230259417,0.746,0.0104762887938121
"223","Bahrain","BHR",1992,"Asia",12.6760563380282,1.67480457211522,100,6.68999836660538,9082.75853260694,22,0.860000014305115,"UM",-10,0,-0.230259417,0.757,0.0104762887938121
"224","Bahamas, The","BHS",1992,"America",1.1988011988012,0.0935104389276385,100,-3.82558196958198,11686.6958113589,21.3,14.8100004196167,"H",NA,0,1.636342571,NA,-0.0012103943555026
"225","Bosnia and Herzegovina","BIH",1992,"Europe",42.96875,NA,NA,NA,NA,18,18.4300003051758,"LM",NA,3972,-2.88430193,NA,-0.174957885298733
"226","Belarus","BLR",1992,"Europe",46.2975744429107,NA,100,-9.60000139597707,1667.68177731373,15.3,3.09999990463257,"UM",7,0,0.054174094,NA,-0.00617237666405638
"227","Belize","BLZ",1992,"America",5.96229723805348,5.19780775053783,70.3068161010742,12.0594453570393,2666.88159980239,33.8,9.65999984741211,"LM",NA,0,1.654981898,0.644,-0.0463710092422964
"228","Belize","BLZ",1992,"America",5.96229723805348,5.19780775053783,70.3068161010742,12.0594453570393,2666.88159980239,33.8,9.65999984741211,"LM",NA,0,1.654981898,0.657,-0.0463710092422964
"229","Bolivia","BOL",1992,"America",33.0757869472907,12.0614541808123,59.8465957641602,1.64649693263348,788.151989829071,112.1,2.78999996185303,"LM",9,0,-0.238212713,0.536,-0.00721555330879273
"230","Bolivia","BOL",1992,"America",33.0757869472907,12.0614541808123,59.8465957641602,1.64649693263348,788.151989829071,112.1,2.78999996185303,"LM",9,0,-0.238212713,0.55,-0.00721555330879273
"231","Brazil","BRA",1992,"America",27.7645983436506,-0.0599401009465941,88.803833,-0.466913211737747,2596.91987612034,57.1,6.42000007629395,"UM",8,0,-1.793874265,0.611,0
"232","Brazil","BRA",1992,"America",27.7645983436506,-0.0599401009465941,88.803833,-0.466913211737747,2596.91987612034,57.1,6.42000007629395,"UM",8,0,-1.793874265,0.622,0
"233","Barbados","BRB",1992,"America",44.1860465116279,0.0663659444905776,100,-5.69252077562327,7444.29144191779,16.7,22.9400005340576,"UM",NA,0,2.690402537,0.716,-0.0205145956802568
"234","Barbados","BRB",1992,"America",44.1860465116279,0.0663659444905776,100,-5.69252077562327,7444.29144191779,16.7,22.9400005340576,"UM",NA,0,2.690402537,0.718,-0.0205145956802568
"235","Brunei Darussalam","BRN",1992,"Asia",2.08728652751423,0.128359938570444,100,4.75858084552159,15274.4446317273,13.2,4.75,"H",NA,0,0.858326756,0.782,0.0174156236764856
"236","Brunei Darussalam","BRN",1992,"Asia",2.08728652751423,0.128359938570444,100,4.75858084552159,15274.4446317273,13.2,4.75,"H",NA,0,0.858326756,0.792,0.0174156236764856
"237","Bhutan","BTN",1992,"Asia",10.786978575862,23.7867856066173,NA,4.60089093265734,469.198975461728,116,1.36000001430511,"L",-10,0,-1.372615372,NA,-0.109566411482537
"238","Botswana","BWA",1992,"Africa",45.6143136943518,2.61241209245191,10.6452713012695,2.91707030692542,3040.96040371719,54.1,16.0900001525879,"UM",7,0,0.9553468,0.581,0.0178181428824968
"239","Botswana","BWA",1992,"Africa",45.6143136943518,2.61241209245191,10.6452713012695,2.91707030692542,3040.96040371719,54.1,16.0900001525879,"UM",7,0,0.9553468,0.587,0.0178181428824968
"240","Central African Republic","CAF",1992,"Africa",8.0580435969052,12.721745840037,NA,-6.4240781994633,477.122324295377,176.6,4.34999990463257,"L",-6,0,-0.336762893,0.317,0.0168962529517754
"241","Central African Republic","CAF",1992,"Africa",8.0580435969052,12.721745840037,NA,-6.4240781994633,477.122324295377,176.6,4.34999990463257,"L",-6,0,-0.336762893,0.299,0.0168962529517754
"242","Canada","CAN",1992,"America",6.8556559021771,NA,100,0.900259560172984,20879.8483300891,7.7,11.1999998092651,"H",10,0,2.14795199,0.849,0.0243399448117645
"243","Canada","CAN",1992,"America",6.8556559021771,NA,100,0.900259560172984,20879.8483300891,7.7,11.1999998092651,"H",10,0,2.14795199,0.856,0.0243399448117645
"244","Switzerland","CHE",1992,"Europe",40.3804801538111,NA,100,-0.0437330190328282,39534.5420385899,7.5,2.80999994277954,"H",10,0,1.251938502,0.832,0.0359844220611447
"245","Switzerland","CHE",1992,"Europe",40.3804801538111,NA,100,-0.0437330190328282,39534.5420385899,7.5,2.80999994277954,"H",10,0,1.251938502,0.836,0.0359844220611447
"246","Chile","CHL",1992,"America",20.9217626141175,0.310191423606523,94.560057,11.1667077338886,3350.21384457649,16.2,4.34999990463257,"LM",8,0,-0.75864952,0.701,0.000263123004756841
"247","Chile","CHL",1992,"America",20.9217626141175,0.310191423606523,94.560057,11.1667077338886,3350.21384457649,16.2,4.34999990463257,"LM",8,0,-0.75864952,0.719,0.000263123004756841
"248","China","CHN",1992,"Asia",54.6648317659929,0.699613031717185,NA,14.2245295924457,366.460692302073,52.3,2.40000009536743,"L",-7,0,-1.382684843,0.502,-0.000669529687459763
"249","China","CHN",1992,"Asia",54.6648317659929,0.699613031717185,NA,14.2245295924457,366.460692302073,52.3,2.40000009536743,"L",-7,0,-1.382684843,0.521,-0.000669529687459763
"250","Cote d'Ivoire","CIV",1992,"Africa",60.377358490566,7.705519821845,38.9146156311035,-0.244560612032501,870.481177294597,152.8,6.69999980926514,"LM",-7,8,-0.414338852,0.388,0.0292684731480491
"251","Cote d'Ivoire","CIV",1992,"Africa",60.377358490566,7.705519821845,38.9146156311035,-0.244560612032501,870.481177294597,152.8,6.69999980926514,"LM",-7,8,-0.414338852,0.387,0.0292684731480491
"252","Cameroon","CMR",1992,"Africa",19.3776311057519,6.64872366353894,32.676155090332,-3.10000321079072,911.741421813763,139.5,7.88000011444092,"LM",-4,0,-1.411394974,0.44,-0.00384015391336885
"253","Cameroon","CMR",1992,"Africa",19.3776311057519,6.64872366353894,32.676155090332,-3.10000321079072,911.741421813763,139.5,7.88000011444092,"LM",-4,0,-1.411394974,0.432,-0.00384015391336885
"254","Congo, Dem. Rep.","COD",1992,"Africa",11.4686486844137,NA,NA,-10.5000085646477,220.371855660963,181.1,2.82999992370605,"L",0,0,-1.920597262,0.356,0.0344755173540069
"255","Congo, Rep.","COG",1992,"Africa",30.8199121522694,4.50023018923714,NA,2.61194805221447,1178.02379889856,94.2,19.7199993133545,"LM",5,0,-0.421213083,0.536,0.00904836719743995
"256","Congo, Rep.","COG",1992,"Africa",30.8199121522694,4.50023018923714,NA,2.61194805221447,1178.02379889856,94.2,19.7199993133545,"LM",5,0,-0.421213083,0.535,0.00904836719743995
"257","Colombia","COL",1992,"America",40.5434880576836,0.425039858070538,91.3042373657227,4.04492943774078,1697.11293600516,32.8,9.4399995803833,"LM",9,2943,-2.380736683,0.592,-0.00836515160635313
"258","Colombia","COL",1992,"America",40.5434880576836,0.425039858070538,91.3042373657227,4.04492943774078,1697.11293600516,32.8,9.4399995803833,"LM",9,2943,-2.380736683,0.606,-0.00836515160635313
"259","Comoros","COM",1992,"Africa",61.794734013971,10.3781561710877,NA,8.53098178773288,1047.9795506547,116.7,4.5,"L",4,29,0.376865597,NA,-0.00687367109025588
"260","Cabo Verde","CPV",1992,"Africa",17.12158808933,32.4961688719436,NA,10.9376472428749,1003.94647280985,58,10.6199998855591,"LM",8,0,1.405536855,NA,-0.0179223458709175
"261","Costa Rica","CRI",1992,"America",42.3031727379554,1.91030436431907,NA,9.19656098009354,2595.02252246487,15.6,3.9300000667572,"LM",10,0,1.12455687,0.656,0.0210563148862627
